,lats,lngs,city,country,ID,temperature,humidity,cloudiness,wind_speed,date
144,-71.38749942732308,-84.21603337613749,punta arenas,CL,3874787,280.15,70,40,15.4,09/12/2018
145,13.925533427645647,-69.56948430466106,oranjestad,AW,3577154,301.15,78,40,6.7,09/12/2018
146,-7.399129293233273,-101.81783832678502,puerto ayora,EC,3652764,294.424,100,80,4.91,09/12/2018
147,-70.70772008528957,79.0585981677379,busselton,AU,2075265,289.424,97,80,9.41,09/12/2018
148,-75.79138809455569,163.04631359471466,bluff,AU,2175403,302.274,24,0,4.26,09/12/2018
149,-79.64919237496018,-3.377310624178449,hermanus,ZA,3366880,285.274,85,48,4.46,09/12/2018
150,-81.9513854430489,-127.39894199470808,rikitea,PF,4030556,296.874,97,92,5.91,09/12/2018
151,-82.17770638839914,115.56859520399746,albany,US,5106834,292.57,100,90,1.5,09/12/2018
152,-80.19163741936933,-175.25669145893409,vaini,IN,1273574,299.274,83,8,1.66,09/12/2018
153,-88.22496096035512,11.992382303931208,hermanus,ZA,3366880,285.274,85,48,4.46,09/12/2018
154,-26.66712502303431,-176.3535732678215,vaini,IN,1273574,299.274,83,8,1.66,09/12/2018
155,47.61111805237849,75.63570922444012,balkhash,KZ,1525798,286.474,100,0,4.26,09/12/2018
156,85.05044653356336,-134.45030756446738,tuktoyaktuk,CA,6170031,272.15,86,90,5.1,09/12/2018
158,-6.348743519870439,-139.3585788274115,atuona,PF,4020109,299.324,100,48,7.41,09/12/2018
159,-68.88377182500895,26.22290326652518,bredasdorp,ZA,1015776,286.15,71,56,3.6,09/12/2018
160,79.24182476471802,87.46947540687671,dikson,RU,1507390,276.124,100,80,8.41,09/12/2018
161,71.61689029672235,-149.08736764254212,college,US,5859699,286.07,71,90,2.1,09/12/2018
162,-42.18446846672645,-106.09683524434953,ancud,CL,3899695,279.874,92,92,0.56,09/12/2018
